"";"position";"rank";"name";"uri";"imageUri";"industry";"country";"revenue";"marketValue";"headquarters";"ceo";"profits";"assets";"state";"thumbnail";"squareImage"
"552";213;213;"DBS";"dbs";"dbs";"Regional Banks";"Singapore";13638;51561;"Singapore";"Piyush Gupta";4133;404192;NA;"http://specials-images.forbesimg.com/imageserve/5d601bf468cb0a000917ef73/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d601bf468cb0a000917ef73/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"553";1414;1414;"DCC";"dcc";"dcc";"Conglomerates";"Ireland";20475;8813;"Ireland";"Donal Murphy";324;8519;NA;NA;NA
"554";1700;1700;"DGB Financial Group";"dgb-financial-group";"dgb-financial-group";"Regional Banks";"South Korea";2989;1254;"South Korea";"Tae-O Kim";343;58251;NA;NA;NA
"555";562;562;"DISH Network";"dish-network";"dish-network";"Broadcasting & Cable";"United States";13621;16325;"Colorado";"W. Erik Carlson";1575;30720;"Colorado";NA;NA
"556";337;337;"DNB";"dnb";"dnb";"Major Banks";"Norway";9185;31588;"Norway";"Rune Bjerke";2865;304291;NA;NA;NA
"557";851;851;"DP World";"dp-world";"dp-world";"Other Transportation";"United Arab Emirates";5646;14243;"United Arab Emirates";"Sultan Ahmed Sultan bin Sulayem";1296;26513;NA;NA;NA
"558";731;731;"DSM";"dsm";"dsm";"Healthcare Services";"Netherlands";10933;20273;"Netherlands";"Feike Sijbesma";1271;15756;NA;NA;NA
"559";1012;1012;"DSV";"dsv";"dsv";"Trucking";"Denmark";12513;15451;"Denmark";"Jens Bjørn Andersen";633;5946;NA;NA;NA
"560";526;526;"DTE Energy";"dte-energy";"dte-energy";"Electric Utilities";"United States";14189;22574;"Michigan";"Gerard M. M. Anderson";1118;36288;"Michigan";NA;NA
"561";513;513;"DXC Technology";"dxc-technology";"dxc-technology";"Business & Personal Services";"United States";21767;17325;"Virginia";"Mike Lawrie";1543;28871;"Virginia";NA;NA
"562";1313;1313;"DaVita";"davita";"davita";"Healthcare Services";"United States";11405;8691;"Colorado";"Kent J. Thiry";159;19320;"Colorado";"http://specials-images.forbesimg.com/imageserve/5cfe5b814c687b0008592c5d/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cfe5b814c687b0008592c5d/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"563";1536;1536;"Daelim Industrial";"daelim-industrial";"daelim-industrial";"Construction Services";"South Korea";9981;3181;"South Korea";"Park Sang-Shin";587;11502;NA;"http://specials-images.forbesimg.com/imageserve/5d603d76673aa300083be5d2/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d603d76673aa300083be5d2/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"564";1251;1251;"Dai Nippon Printing";"dai-nippon-printing";"dai-nippon-printing";"Printing & Publishing";"Japan";12746;7060;"Japan";"Yoshitoshi Kitajima";508;15765;NA;NA;NA
"565";221;221;"Dai-ichi Life Insurance";"dai-ichi-life-insurance";"dai-ichi-life-insurance";"Life & Health Insurance";"Japan";59070;16918;"Japan";"Koichiro Watanabe";2857;509385;NA;NA;NA
"566";862;862;"Daiichi Sankyo";"daiichi-sankyo";"daiichi-sankyo";"Pharmaceuticals";"Japan";8350;28737;"Japan";"Joji Nakayama";602;17259;NA;NA;NA
"567";444;443;"Daikin Industries";"daikin-industries";"daikin-industries";"Construction Materials";"Japan";22123;34573;"Japan";"Masanori Togawa";1675;23416;NA;NA;NA
"568";1986;1986;"Daily Mail & General Trust";"daily-mail-general-trust";"no-pic";"Printing & Publishing";"United Kingdom";1917;1988;"United Kingdom";"Paul A. Zwillenberg";927;3512;NA;NA;NA
"569";37;37;"Daimler";"daimler";"daimler";"Auto & Truck Manufacturers";"Germany";197445;71342;"Germany";"Dieter Zetsche";8552;321933;NA;NA;NA
"570";1343;1343;"Daishi Hokuetsu Financial Group";"daishi-hokuetsu-financial-group";"no-pic";"Regional Banks";"Japan";891;1373;"Japan";NA;512;80665;NA;NA;NA
"571";1051;1051;"Daito Trust Construction";"daito-trust-construction";"daito-trust-construction";"Construction Services";"Japan";14246;10187;"Japan";"Naomi Kumakiri";764;7456;NA;NA;NA
"572";368;368;"Daiwa House Industry";"daiwa-house-industry";"daiwa-house-industry";"Construction Services";"Japan";36686;17769;"Japan";"Takeo Higuchi";2221;38978;NA;NA;NA
"573";846;846;"Daiwa Securities";"daiwa-securities";"daiwa-securities";"Investment Services";"Japan";6665;7588;"Japan";"Seiji Nakata";788;195317;NA;NA;NA
"574";1829;1828;"Dali Foods Group";"dali-foods-group";"dali-foods-group";"Food Processing";"China";3165;9548;"China";"Shi Hui Xu";564;2657;NA;NA;NA
"575";271;271;"Danaher";"danaher";"danaher";"Conglomerates";"United States";20078;90729;"District of Columbia";"Thomas P.  Patrick Joyce Jr.";2418;47833;"District of Columbia";NA;NA
"576";1530;1530;"Dangote Cement";"dangote-cement";"dangote-cement";"Construction Materials";"Nigeria";2493;8959;"Nigeria";"Joseph Oyeyani Makoju";1076;4662;NA;NA;NA
"577";244;244;"Danone";"danone";"danone";"Food Processing";"France";29082;51234;"France";"Emmanuel Faber";2755;50501;NA;"http://specials-images.forbesimg.com/imageserve/5cd1aa09660f45000833183a/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd1aa09660f45000833183a/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"578";339;339;"Danske Bank";"danske-bank";"danske-bank";"Major Banks";"Denmark";15446;16592;"Denmark";"Jesper Nielsen";2201;548176;NA;NA;NA
"579";637;637;"Daqin Railway";"daqin-railway";"daqin-railway";"Railroads";"China";10779;18780;"China";"Bo Lin Guan";2178;19319;NA;NA;NA
"580";1132;1132;"Darden Restaurants";"darden-restaurants";"darden-restaurants";"Restaurants";"United States";8415;14372;"Florida";"Eugene I. Lee, Jr.";680;5698;"Florida";NA;NA
"581";1082;1082;"Dassault Aviation";"dassault-aviation";"dassault-aviation";"Aerospace & Defense";"France";6039;12121;"France";"Éric Trappier";676;19494;NA;NA;NA
"582";1208;1208;"Dassault Systemes";"dassault-systemes";"dassault-systemes";"Software & Programming";"France";4103;39203;"France";"Bernard Charlès";672;9115;NA;"http://specials-images.forbesimg.com/imageserve/5cd1aa49e989c40008cfba78/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd1aa49e989c40008cfba78/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"583";1040;1040;"Datang International Power";"datang-international-power";"datang-international-power";"Electric Utilities";"China";13915;8230;"China";"Xin Wang";197;41935;NA;NA;NA
"584";1024;1024;"Db Insurance";"db-insurance";"no-pic";"Property & Casualty Insurance";"South Korea";13141;3836;"South Korea";"Jeong-Nam Kim";484;45083;NA;NA;NA
"585";194;194;"Deere & Company";"john-deere";"john-deere";"Heavy Equipment";"United States";38439;53841;"Illinois";"Samuel R. Allen";3401;69918;"Illinois";"http://specials-images.forbesimg.com/imageserve/5cd434a4169cc600095ec179/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd434a4169cc600095ec179/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"586";1954;1954;"Delek Group";"delek-group";"delek-group";"Investment Services";"Israel";2261;2180;"Israel";"Joseph Asaf Bartfeld";144;34001;NA;NA;NA
"587";470;470;"Dell Technologies";"dell-technologies";"dell-technologies";"Computer Hardware";"United States";90396;45183;"Texas";"Michael Saul Dell";-2310;111820;"Texas";NA;NA
"588";203;203;"Delta Air Lines";"delta-air-lines";"delta-air-lines";"Airline";"United States";44940;38101;"Georgia";"Ed Herman Bastian";4086;61841;"Georgia";NA;NA
"589";1243;1243;"Delta Electronics";"delta-electronics";"delta-electronics";"Electronics";"Taiwan";7860;13561;"Taiwan";"Cheng Ping";603;8522;NA;"http://specials-images.forbesimg.com/imageserve/5d604e8068cb0a0008c03d5c/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d604e8068cb0a0008c03d5c/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"590";256;256;"Denso";"denso";"denso";"Auto & Truck Parts";"Japan";48794;34930;"Japan";"Koji Arima";2366;51455;NA;NA;NA
"591";793;793;"Dentsu";"dentsu";"dentsu";"Advertising";"Japan";9222;11439;"Japan";"Toshihiro Yamamoto";818;33163;NA;NA;NA
"592";547;547;"Deutsche Bank";"deutsche-bank";"deutsche-bank";"Major Banks";"Germany";42269;18074;"Germany";"Christian Sewing";314;1541123;NA;NA;NA
"593";672;672;"Deutsche Boerse";"deutsche-boerse";"deutsche-boerse";"Investment Services";"Germany";3702;24159;"Germany";"Theodor Weimer";972;180249;NA;NA;NA
"594";413;413;"Deutsche Lufthansa";"deutsche-lufthansa";"deutsche-lufthansa";"Airline";"Germany";42287;12070;"Germany";"Carsten Spohr";2552;44359;NA;NA;NA
"595";1679;1679;"Deutsche Pfandbriefbank";"deutsche-pfandbriefbank";"no-pic";"Regional Banks";"Germany";2193;1861;"Germany";"Andreas Arndt";211;66039;NA;NA;NA
"596";208;208;"Deutsche Post";"deutsche-post";"deutsche-post";"Air Courier";"Germany";72614;43104;"Germany";"Frank Appel";2448;59958;NA;NA;NA
"597";116;116;"Deutsche Telekom";"deutsche-telekom";"deutsche-telekom";"Telecommunications services";"Germany";89255;79386;"Germany";"Timotheus Höttges";2557;176488;NA;NA;NA
"598";820;820;"Deutsche Wohnen";"deutsche-wohnen";"deutsche-wohnen";"Construction Services";"Germany";1724;15956;"Germany";"Michael Zahn";2162;29032;NA;NA;NA
"599";627;627;"Devon Energy";"devon-energy";"devon-energy";"Oil & Gas Operations";"United States";11739;14705;"Oklahoma";"David A. Hager";3052;19566;"Oklahoma";NA;NA
"600";1074;1074;"Dexia";"dexia";"dexia";"Major Banks";"Belgium";11049;9;"Belgium";"Wouter Devriendt";-558,7;196545;NA;NA;NA
"601";1507;1507;"Dexus";"dexus";"no-pic";"Real Estate";"Australia";640;9180;"Australia";"Darren Joseph Steinberg";1089;10357;NA;NA;NA
"602";283;283;"Diageo";"diageo";"diageo";"Beverages";"United Kingdom";16722;98004;"United Kingdom";"Ivan M. Menezes";3920;40875;NA;NA;NA
"603";1021;1021;"Diamondback Energy";"diamondback-energy";"no-pic";"Oil & Gas Operations";"United States";2178;17635;"Texas";"Travis D. Stice";846;21596;"Texas";NA;NA
"604";1972;1972;"Digital China Group";"digital-china-group";"no-pic";"Telecommunications services";"China";12358;1525;"China";NA;77;3785;NA;NA;NA
"605";1290;1289;"Digital Realty Trust";"digital-realty-trust";"digital-realty-trust";"Real Estate";"United States";3015;25074;"California";"Arthur William Stein";331;23767;"California";NA;NA
"606";340;339;"Discover Financial Services";"discover-financial-services";"discover-financial-services";"Consumer Financial Services";"United States";12847;25169;"Illinois";"Roger C. C. Hochschild";2720;109957;"Illinois";NA;NA
"607";815;815;"Discovery";"discovery";"no-pic";"Broadcasting & Cable";"United States";10545;15813;"Maryland";"David M. M. Zaslav";493;32550;"Maryland";NA;NA
"608";1880;1880;"Dixons Carphone";"dixons-carphone";"dixons-carphone";"Specialty Stores";"United Kingdom";14161;2255;"United Kingdom";"Alexander Baldock";-462;9062;NA;NA;NA
"609";561;560;"Dollar General";"dollar-general";"dollar-general";"Discount Stores";"United States";25625;32021;"Tennessee";"Todd J. Vasos";1589;13296;"Tennessee";NA;NA
"610";944;943;"Dollar Tree";"dollar-tree";"dollar-tree";"Discount Stores";"United States";22823;25886;"Virginia";"Gary M. Philbin";-1591;13667;"Virginia";NA;NA
"611";290;290;"Dominion Resources";"dominion-energy";"dominion-energy";"Electric Utilities";"United States";13455;59891;"Virginia";"Thomas F. Farrell";2447;77914;"Virginia";NA;NA
"612";618;618;"Dongfeng Motor Group";"dongfeng-motor-group";"dongfeng-motor-group";"Auto & Truck Manufacturers";"China";15889;9379;"China";"Liang Jie Ma";1983;32993;NA;NA;NA
"613";1292;1292;"Doosan";"doosan";"doosan";"Construction Services";"South Korea";16512;1721;"South Korea";"Hyeon-Su Dong";-66;25883;NA;NA;NA
"614";1305;1305;"Dover";"dover";"dover";"Conglomerates";"United States";7079;14199;"Illinois";"Richard Joseph Tobin";545;8366;"Illinois";NA;NA
"615";81;81;"DowDuPont";"dowdupont";"dowdupont";"Diversified Chemicals";"United States";85977;87606;"Michigan";"Edward D. D. Breen";3827;188030;"Michigan";NA;NA
"616";1977;1977;"Drilling Company of 1972";"drilling-company-of-1972";"no-pic";NA;"Denmark";1429;3202;"Denmark";"Jørn Madsen";941;NA;NA;NA;NA
"617";926;926;"Dubai Islamic Bank";"dubai-islamic-bank";"dubai-islamic-bank";"Regional Banks";"United Arab Emirates";3146;9184;"United Arab Emirates";"Adnan Abdul Shakoor Chilwan";1203;60897;NA;NA;NA
"618";183;183;"Duke Energy";"duke-energy";"duke-energy";"Electric Utilities";"United States";24521;64862;"North Carolina";"Lynn J. J. Good";2666;150567;"North Carolina";"http://specials-images.forbesimg.com/imageserve/5915cf1531358e03e559058f/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5915cf1531358e03e559058f/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"619";838;838;"E-Trade Financial";"e-trade-financial";"e-trade-financial";"Investment Services";"United States";3119;12536;"New York";"Michael A. Pizzi";1095;67518;"New York";NA;NA
"620";1432;1432;"E-mart";"e-mart";"e-mart";"Discount Stores";"South Korea";15492;4276;"South Korea";"Gab-Soo Lee";397;15015;NA;NA;NA
"621";263;263;"E.ON";"eon";"eon";"Electric Utilities";"Germany";35057;23952;"Germany";"Johannes Teyssen";3802;64604;NA;NA;NA
"622";1121;1121;"E.Sun Financial";"esun-financial";"esun-financial";"Regional Banks";"Taiwan";2243;8427;"Taiwan";"Huang Nan-Chou";566;74431;NA;"http://specials-images.forbesimg.com/imageserve/5d604e1efead28000891fd09/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d604e1efead28000891fd09/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"623";269;269;"EDF";"edf";"edf";"Electric Utilities";"France";81374;43371;"France";"Jean-Bernard Lévy";700;323705;NA;NA;NA
"624";1867;1867;"EFG International";"efg-international";"efg-international";"Regional Banks";"Switzerland";1559;2169;"Switzerland";"Piergiorgio G. Pradelli";72;40739;NA;NA;NA
"625";1582;1582;"EMS-Chemie Holding";"ems-chemie-holding";"ems-chemie-holding";"Specialized Chemicals";"Switzerland";2369;14377;"Switzerland";"Magdalena Martullo-Blocher";531;2189;NA;NA;NA
"626";227;227;"ENGIE";"engie";"engie";"Electric Utilities";"France";71488;36155;"France";"Wilfrid John Petrie";1219;175704;NA;NA;NA
"627";1434;1434;"ENN Energy Holdings";"enn-energy-holdings";"enn-energy-holdings";"Natural Gas Utilities";"China";9145;10789;"China";"Ji Shen Han";431;10766;NA;NA;NA
"628";319;319;"EOG Resources";"eog-resources";"eog-resources";"Oil & Gas Operations";"United States";17266;60251;"Texas";"William Robert Thomas";3419;33934;"Texas";NA;NA
"629";273;273;"EXOR";"exor";"exor";"Investment Services";"Netherlands";169051;15884;"Netherlands";"John Jacob Philip Elkann";1589;190077;NA;NA;NA
"630";250;250;"East Japan Railway";"east-japan-railway";"east-japan-railway";"Railroads";"Japan";27130;34732;"Japan";"Tetsuro Tomita";2652;74041;NA;NA;NA
"631";1244;1244;"East West Bancorp";"east-west-bancorp";"east-west-bancorp";"Regional Banks";"United States";1807;7212;"California";"Dominic Ng";704;41113;"California";NA;NA
"632";878;877;"Eastman Chemical";"eastman-chemical";"eastman-chemical";"Specialized Chemicals";"United States";10122;11662;"Tennessee";"Mark J. J. Costa";1080;15995;"Tennessee";"http://specials-images.forbesimg.com/imageserve/5a29656f31358e286471d5ef/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5a29656f31358e286471d5ef/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"633";1912;1912;"EasyJet";"easyjet";"easyjet";"Airline";"United Kingdom";7928;6277;"United Kingdom";"Johan Peter Lundgren";481;9122;NA;NA;NA
"634";361;361;"Eaton";"eaton";"eaton";"Other Industrial Equipment";"Ireland";21609;36148;"Ireland";"Craig Arnold";2145;31092;NA;NA;NA
"635";512;512;"Ecolab";"ecolab";"ecolab";"Specialized Chemicals";"United States";14668;52829;"Minnesota";"Douglas M. Baker";1429;20075;"Minnesota";NA;NA
"636";300;300;"Ecopetrol";"ecopetrol";"ecopetrol";"Oil & Gas Operations";"Colombia";21866;39455;"Colombia";"Felipe Bayón Pardo";3909;38873;NA;NA;NA
"637";778;778;"Edison International";"edison-international";"edison-international";"Electric Utilities";"United States";12657;20555;"California";"Pedro J. Pizarro";-423;56715;"California";NA;NA
"638";633;633;"Edp-energias De Portugal";"edp-energias-de-portugal";"edp-energias-de-portugal";"Electric Utilities";"Portugal";18024;14074;"Portugal";"António Luís Guerra Nunes Mexia";613;47586;NA;NA;NA
"639";1200;1200;"Edwards Lifesciences";"edwards-lifesciences";"edwards-lifesciences";"Medical Equipment & Supplies";"United States";3723;36889;"California";"Michael A. Mussallem";722;5324;"California";"http://specials-images.forbesimg.com/imageserve/5798ecf331358e154fde0081/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5798ecf331358e154fde0081/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"640";716;716;"Eiffage";"eiffage";"eiffage";"Construction Services";"France";19926;9560;"France";"Benoit de Ruffray";742;34715;NA;NA;NA
"641";1350;1350;"Eisai";"eisai";"eisai";"Pharmaceuticals";"Japan";5680;16295;"Japan";"Haruo Naito";577;9351;NA;NA;NA
"642";1508;1508;"El Puerto de Liverpool";"el-puerto-de-liverpool";"el-puerto-de-liverpool";"Department Stores";"Mexico";7045;8545;"Mexico";"Graciano Francisco Guichard Gonzlez";608;8867;NA;NA;NA
"643";1351;1351;"Electric Power Development";"electric-power-development";"electric-power-development";"Electric Utilities";"Japan";7982;4187;"Japan";"Yong Yu";494;25498;NA;NA;NA
"644";1455;1455;"Electrolux Group";"electrolux-group";"electrolux-group";"Household Appliances";"Sweden";14266;7408;"Sweden";"Jonas Samuelson";437;10976;NA;NA;NA
"645";1007;1007;"Electronic Arts";"electronic-arts";"electronic-arts";"Recreational Products";"United States";5316;27904;"California";"Andrew P. Wilson";1417;8857;"California";NA;NA
"646";657;657;"Eletrobrás";"eletrobras";"eletrobras";"Electric Utilities";"Brazil";6877;11084;"Brazil";"Wilson Pinto Ferreira";3638;46755;NA;NA;NA
"647";238;238;"Eli Lilly";"eli-lilly";"eli-lilly";"Pharmaceuticals";"United States";24556;119327;"Indiana";"David A. Ricks";3232;43908;"Indiana";"http://specials-images.forbesimg.com/imageserve/5cd1aad5d606c400081eac3b/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd1aad5d606c400081eac3b/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
